uniprot,entrez_id
Q16099,2900
Q16478,2901
P00390,2936
P49840,2931
P49841,2932
P25092,2984
P0AES4,75206476
P0AES4,946614
P48372,882800
P0DG02,69900861
P0AES6,93778440
P0AES6,948211
Q9I7C2,879230
Q5HK03,50017419
P69905,3039
P69905,3040
P68871,3043
P08631,3055
Q9Y3Q4,10021
Q969S8,83933
Q96DB2,79885
Q13547,3065
Q92769,3066
O15379,8841
P56524,9759
Q9UQL6,10014
Q9UBN7,10013
Q8WUI4,51564
Q9BY41,55869
Q9UKV0,9734
P03460,956538
P04233,972
P04035,3156
P32754,3242
P35367,3269
P25021,3274
Q9Y5N1,11255
Q14626,3590
Q13261,3601
Q96F46,23765
P05155,710
O75874,3417
P48735,3418
P01579,3458
P08069,3480
P29459,3592
P29460,3593
P35225,3596
Q96PD4,112744
Q16552,3605
Q9NPH3,3556
P01584,3553
P14778,3554
Q9NPF7,51561
P01589,3559
P14784,3560
P31785,3561
Q8NI17,133396
P26951,3563
P32927,1439
P24394,3566
Q01344,3568
P05113,3567
P08887,3570
P40189,3572
P05231,3569
Q9HB29,8808
P20839,3614
P12268,3615
P29218,3612
P17181,3454
P48551,3455
P15260,3459
P38484,3460
P9WGR1,45425463
P9WGR1,886523
P08476,3624
P06213,3643
P49895,1733
P51617,3654
P08514,3674
P13612,3676
P20701,3683
P06756,3685
P05556,3688
P05107,3689
P05106,3690
P26010,3695
Q08881,3702
P23458,3716
O60674,3717
P52333,3718
P49674,1454
Q16322,3744
Q14654,3767
Q09470,3736
P16389,3737
P22001,3738
P22459,3739
P22460,3741
P17658,3742
Q96RP8,3743
Q14721,3745
Q92953,9312
P48547,3746
Q96PR1,3747
Q14003,3748
Q03721,3749
Q9NSA2,3750
Q9NZV8,3751
Q9UK17,3752
Q9H3M0,3754
Q9UIX4,3755
Q9UJ96,26251
Q8TAE7,170850
Q8TDN1,93107
O95259,3756
Q12809,3757
Q9ULD8,23416
Q9UQ05,23415
Q8NCM2,27133
Q9H252,81033
Q9NS40,90134
Q96L42,131096
P63252,3759
P48549,3760
P48544,3762
Q15842,3764
O95069,3776
O14649,3777
Q9NPC2,51305
P57789,54207
Q7Z418,338567
O15554,3783
P51787,3784
O43526,3785
O43525,3786
P56696,9132
Q9NR82,56479
Q96KK3,3787
Q9ULS6,3788
Q9BQ31,3790
Q6PIU1,27012
Q8TDN2,169522
Q14145,9817
P33176,3799
P10721,3815
P03952,3818
P17252,5578
P05771,5579
Q15139,5587
O94806,23683
Q05655,5580
Q02156,5581
P05129,5582
P41743,5584
P24723,5583
Q04759,5588
Q05513,5590
P30613,5313
P0C731,3783704
P43405,6850
P18627,3902
P25391,284217
P24043,3908
Q16787,3909
Q16363,3910
O15230,3911
P07942,3912
P55268,3913
Q13751,3914
A4D0S4,22798
P11047,3915
Q13753,3918
Q9Y6N6,10319
P06239,3932
P48357,3953
P07098,8513
P16233,5406
P18054,239
P09917,240
P22888,3973
P10253,2548
P16109,6403
P07948,4067
Q05318,911824
P43358,4103
Q9UDY8,10892
P32245,4160
P08235,4306
O00255,4221
P08581,4233
Q2M2H8,93432
O43451,8972
Q15759,5600
Q01449,58498
P10916,4633
P45452,4322
P03956,4312
P09237,4316
P22894,4317
Q02750,5604
P36507,5605
P0AD65,75205004
P0AD65,945240
Q01726,4157
P42345,2475
P55157,4547
P48039,4543
P49286,4544
Q8WXI7,94025
P0A749,93778792
P0A749,947703
P13533,4624
A7E2Y1,57644
P12883,4625
P08590,4634
P12829,4635
P18272,911830
O15239,4694
O43678,4695
O95167,4696
O00483,4697
Q16718,4698
P56556,4700
O95182,4701
P51970,4702
Q16795,4704
O95299,4705
Q86Y39,126328
Q9UI09,55967
Q9P0J0,51079
O75438,4707
O95178,4708
O43676,4709
O95168,4710
O43674,4711
O95139,4712
P17568,4713
O95169,4714
Q9Y6M9,4715
O96000,4716
Q9NX14,54539
O43677,4717
O95298,4718
Q8N183,91942
Q9BU61,25915
Q9P032,29078
P28331,4719
O75306,4720
O75489,4722
O43181,4724
O43920,4725
O75380,4726
O75251,374291
O00217,4728
P49821,4723
P19404,4729
P56181,4731
Q96NY8,81607
P08473,4311
Q16236,4780
Q92542,23385
Q9Y2I1,11188
P25103,6869
P29371,6870
Q8TCU5,116443
O60391,116444
Q12879,2903
Q13224,2904
Q14957,2905
O15399,2906
Q05586,2902
Q9HC29,64127
Q9UHC9,29881
P06748,4869
Q96RI1,9971
